"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 04 18:01:28 GMT 2021","Wed Aug 04 18:01:28 GMT 2021","544","python_tests","test_conduit","","","","test_new_article","create new article with random data used a modul RandomData"
"skipped","Wed Aug 04 18:01:28 GMT 2021","Wed Aug 04 18:01:28 GMT 2021","0","python_tests","test_conduit","","","","test_new_article_from_file","add two new data from testdata.csv"
"passed","Wed Aug 04 18:01:00 GMT 2021","Wed Aug 04 18:01:03 GMT 2021","3391","python_tests","test_conduit","","","","test_register","a user registration with valid data"
"passed","Wed Aug 04 18:01:03 GMT 2021","Wed Aug 04 18:01:04 GMT 2021","919","python_tests","test_conduit","","","","test_login","login with a registered user"
"passed","Wed Aug 04 18:01:29 GMT 2021","Wed Aug 04 18:01:29 GMT 2021","241","python_tests","test_conduit","","","","test_delete_article","delete the last and edited article"
"passed","Wed Aug 04 18:01:04 GMT 2021","Wed Aug 04 18:01:17 GMT 2021","12858","python_tests","test_conduit","","","","test_save_data","Save data from articles from page n1"
"passed","Wed Aug 04 18:01:17 GMT 2021","Wed Aug 04 18:01:27 GMT 2021","10256","python_tests","test_conduit","","","","test_accept_cookies","accept cookies"
"passed","Wed Aug 04 18:01:03 GMT 2021","Wed Aug 04 18:01:03 GMT 2021","74","python_tests","test_conduit","","","","test_logout","logout after successful registration"
"passed","Wed Aug 04 18:01:28 GMT 2021","Wed Aug 04 18:01:29 GMT 2021","980","python_tests","test_conduit","","","","test_edit_article","edit the last article"
"passed","Wed Aug 04 18:00:59 GMT 2021","Wed Aug 04 18:01:00 GMT 2021","840","python_tests","test_conduit","","","","test_login_with_empty_fields","try to login without email and password"
"passed","Wed Aug 04 18:01:27 GMT 2021","Wed Aug 04 18:01:28 GMT 2021","125","python_tests","test_conduit","","","","test_pagination","select last page and assert if it is 'page-item active' "
