"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 05 10:30:20 GMT 2021","Thu Aug 05 10:30:30 GMT 2021","10047","python_tests","test_conduit","","","","test_logout","logout after successful registration"
"broken","Thu Aug 05 10:30:30 GMT 2021","Thu Aug 05 10:30:40 GMT 2021","10055","python_tests","test_conduit","","","","test_login","login with a registered user"
"passed","Thu Aug 05 10:30:40 GMT 2021","Thu Aug 05 10:30:50 GMT 2021","10013","python_tests","test_conduit","","","","test_save_data","Save data from articles from page n1"
"broken","Thu Aug 05 10:31:41 GMT 2021","Thu Aug 05 10:31:51 GMT 2021","10022","python_tests","test_conduit","","","","test_delete_article","delete the last and edited article"
"broken","Thu Aug 05 10:31:00 GMT 2021","Thu Aug 05 10:31:21 GMT 2021","21073","python_tests","test_conduit","","","","test_pagination","select last page and assert if it is 'page-item active' "
"broken","Thu Aug 05 10:30:10 GMT 2021","Thu Aug 05 10:30:20 GMT 2021","10106","python_tests","test_conduit","","","","test_register","a user registration with valid data"
"broken","Thu Aug 05 10:29:59 GMT 2021","Thu Aug 05 10:30:10 GMT 2021","10649","python_tests","test_conduit","","","","test_login_with_empty_fields","try to login without email and password"
"broken","Thu Aug 05 10:31:31 GMT 2021","Thu Aug 05 10:31:41 GMT 2021","10035","python_tests","test_conduit","","","","test_edit_article","edit the last article"
"broken","Thu Aug 05 10:30:50 GMT 2021","Thu Aug 05 10:31:00 GMT 2021","10035","python_tests","test_conduit","","","","test_accept_cookies","accept cookies"
"broken","Thu Aug 05 10:31:21 GMT 2021","Thu Aug 05 10:31:31 GMT 2021","10020","python_tests","test_conduit","","","","test_new_article","create new article with random data used a modul RandomData"
"skipped","Thu Aug 05 10:31:31 GMT 2021","Thu Aug 05 10:31:31 GMT 2021","0","python_tests","test_conduit","","","","test_new_article_from_file","add two new data from testdata.csv"
