"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jul 22 11:35:51 GMT 2021","Thu Jul 22 11:35:52 GMT 2021","1106","python_tests","test_conduit","","","","test_accept_cookies","accept cookies"
"broken","Thu Jul 22 11:35:39 GMT 2021","Thu Jul 22 11:35:51 GMT 2021","11583","python_tests","test_conduit","","","","test_login","login with a registered user"
"skipped","Thu Jul 22 11:35:37 GMT 2021","Thu Jul 22 11:35:37 GMT 2021","0","python_tests","test_conduit","","","","test_register","a user registration"
