"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 05 13:58:21 GMT 2021","Thu Aug 05 13:58:23 GMT 2021","2673","python_tests","test_conduit","","","","test_register","a user registration with valid data"
"passed","Thu Aug 05 13:58:37 GMT 2021","Thu Aug 05 13:58:47 GMT 2021","10211","python_tests","test_conduit","","","","test_accept_cookies","accept cookies"
"broken","Thu Aug 05 13:58:58 GMT 2021","Thu Aug 05 13:59:08 GMT 2021","10027","python_tests","test_conduit","","","","test_delete_article","delete the last and edited article"
"passed","Thu Aug 05 13:58:18 GMT 2021","Thu Aug 05 13:58:21 GMT 2021","3132","python_tests","test_conduit","","","","test_login_with_empty_fields","try to login without email and password"
"passed","Thu Aug 05 13:58:47 GMT 2021","Thu Aug 05 13:58:48 GMT 2021","439","python_tests","test_conduit","","","","test_new_article","create new article with random data used a modul RandomData"
"passed","Thu Aug 05 13:58:47 GMT 2021","Thu Aug 05 13:58:47 GMT 2021","85","python_tests","test_conduit","","","","test_pagination","select last page and assert if it is 'page-item active' "
"broken","Thu Aug 05 13:58:48 GMT 2021","Thu Aug 05 13:58:58 GMT 2021","10088","python_tests","test_conduit","","","","test_edit_article","edit the last article"
"passed","Thu Aug 05 13:58:24 GMT 2021","Thu Aug 05 13:58:25 GMT 2021","836","python_tests","test_conduit","","","","test_login","login with a registered user"
"broken","Thu Aug 05 13:58:48 GMT 2021","Thu Aug 05 13:58:48 GMT 2021","126","python_tests","test_conduit","","","","test_new_article_from_file","add two new data from testdata.csv"
"passed","Thu Aug 05 13:58:23 GMT 2021","Thu Aug 05 13:58:24 GMT 2021","268","python_tests","test_conduit","","","","test_logout","logout after successful registration"
"passed","Thu Aug 05 13:58:25 GMT 2021","Thu Aug 05 13:58:37 GMT 2021","12468","python_tests","test_conduit","","","","test_save_data","Save data from articles from page n1"
