"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 04 17:48:47 GMT 2021","Wed Aug 04 17:48:48 GMT 2021","471","python_tests","test_conduit","","","","test_new_article","create new article with random data used a modul RandomData"
"passed","Wed Aug 04 17:48:20 GMT 2021","Wed Aug 04 17:48:23 GMT 2021","3137","python_tests","test_conduit","","","","test_register","a user registration with valid data"
"passed","Wed Aug 04 17:48:18 GMT 2021","Wed Aug 04 17:48:20 GMT 2021","1617","python_tests","test_conduit","","","","test_login_with_empty_fields","try to login without email and password"
"passed","Wed Aug 04 17:48:37 GMT 2021","Wed Aug 04 17:48:47 GMT 2021","10297","python_tests","test_conduit","","","","test_accept_cookies","accept cookies"
"passed","Wed Aug 04 17:48:23 GMT 2021","Wed Aug 04 17:48:24 GMT 2021","883","python_tests","test_conduit","","","","test_login","login with a registered user"
"passed","Wed Aug 04 17:48:23 GMT 2021","Wed Aug 04 17:48:23 GMT 2021","61","python_tests","test_conduit","","","","test_logout","logout after successful registration"
"passed","Wed Aug 04 17:48:48 GMT 2021","Wed Aug 04 17:48:48 GMT 2021","191","python_tests","test_conduit","","","","test_delete_article","delete the last and edited article"
"passed","Wed Aug 04 17:48:24 GMT 2021","Wed Aug 04 17:48:37 GMT 2021","12707","python_tests","test_conduit","","","","test_save_data","Save data from articles from page n1"
"skipped","Wed Aug 04 17:48:48 GMT 2021","Wed Aug 04 17:48:48 GMT 2021","0","python_tests","test_conduit","","","","test_new_article_from_file","add two new data from testdata.csv"
"passed","Wed Aug 04 17:48:47 GMT 2021","Wed Aug 04 17:48:47 GMT 2021","94","python_tests","test_conduit","","","","test_pagination","select last page and assert if it is 'page-item active' "
"passed","Wed Aug 04 17:48:48 GMT 2021","Wed Aug 04 17:48:48 GMT 2021","415","python_tests","test_conduit","","","","test_edit_article","edit the last article"
