"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 09:17:06 GMT 2021","Sun Aug 08 09:17:06 GMT 2021","235","python_tests","test_conduit","","","","test_logout","logout after successful registration"
"passed","Sun Aug 08 09:17:20 GMT 2021","Sun Aug 08 09:17:42 GMT 2021","21284","python_tests","test_conduit","","","","test_accept_cookies","accept cookies"
"passed","Sun Aug 08 09:17:07 GMT 2021","Sun Aug 08 09:17:20 GMT 2021","13349","python_tests","test_conduit","","","","test_save_data","Save data from articles from page n1"
"passed","Sun Aug 08 09:17:45 GMT 2021","Sun Aug 08 09:17:46 GMT 2021","1346","python_tests","test_conduit","","","","test_new_article_with_empty_fields","create new article with random data used by module RandomData"
"passed","Sun Aug 08 09:17:03 GMT 2021","Sun Aug 08 09:17:06 GMT 2021","2895","python_tests","test_conduit","","","","test_register","a user registration with valid data"
"passed","Sun Aug 08 09:17:02 GMT 2021","Sun Aug 08 09:17:03 GMT 2021","933","python_tests","test_conduit","","","","test_register_with_empty_fields","a user registration with empty fields"
"passed","Sun Aug 08 09:17:42 GMT 2021","Sun Aug 08 09:17:42 GMT 2021","573","python_tests","test_conduit","","","","test_new_article","create new article with random data used by module RandomData"
"passed","Sun Aug 08 09:17:42 GMT 2021","Sun Aug 08 09:17:42 GMT 2021","136","python_tests","test_conduit","","","","test_pagination","select last page and assert if it is 'page-item active' "
"passed","Sun Aug 08 09:17:45 GMT 2021","Sun Aug 08 09:17:45 GMT 2021","242","python_tests","test_conduit","","","","test_delete_article","delete the last and edited article"
"passed","Sun Aug 08 09:17:01 GMT 2021","Sun Aug 08 09:17:02 GMT 2021","1501","python_tests","test_conduit","","","","test_login_with_empty_fields","try to login without email and password"
"passed","Sun Aug 08 09:17:06 GMT 2021","Sun Aug 08 09:17:07 GMT 2021","453","python_tests","test_conduit","","","","test_login","login with a previously registered user"
"passed","Sun Aug 08 09:17:44 GMT 2021","Sun Aug 08 09:17:45 GMT 2021","486","python_tests","test_conduit","","","","test_edit_article","edit the last article"
"passed","Sun Aug 08 09:17:42 GMT 2021","Sun Aug 08 09:17:44 GMT 2021","1888","python_tests","test_conduit","","","","test_new_article_from_file","add two new data from testate.csv"
