"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 05 14:12:52 GMT 2021","Thu Aug 05 14:12:52 GMT 2021","90","python_tests","test_conduit","","","","test_pagination","select last page and assert if it is 'page-item active' "
"broken","Thu Aug 05 14:12:53 GMT 2021","Thu Aug 05 14:13:03 GMT 2021","10076","python_tests","test_conduit","","","","test_edit_article","edit the last article"
"passed","Thu Aug 05 14:12:29 GMT 2021","Thu Aug 05 14:12:29 GMT 2021","750","python_tests","test_conduit","","","","test_login","login with a registered user"
"passed","Thu Aug 05 14:12:19 GMT 2021","Thu Aug 05 14:12:25 GMT 2021","5877","python_tests","test_conduit","","","","test_login_with_empty_fields","try to login without email and password"
"passed","Thu Aug 05 14:12:29 GMT 2021","Thu Aug 05 14:12:42 GMT 2021","12531","python_tests","test_conduit","","","","test_save_data","Save data from articles from page n1"
"passed","Thu Aug 05 14:12:28 GMT 2021","Thu Aug 05 14:12:29 GMT 2021","526","python_tests","test_conduit","","","","test_logout","logout after successful registration"
"passed","Thu Aug 05 14:12:42 GMT 2021","Thu Aug 05 14:12:52 GMT 2021","10218","python_tests","test_conduit","","","","test_accept_cookies","accept cookies"
"passed","Thu Aug 05 14:12:52 GMT 2021","Thu Aug 05 14:12:53 GMT 2021","443","python_tests","test_conduit","","","","test_new_article","create new article with random data used a modul RandomData"
"broken","Thu Aug 05 14:12:53 GMT 2021","Thu Aug 05 14:12:53 GMT 2021","169","python_tests","test_conduit","","","","test_new_article_from_file","add two new data from testdata.csv"
"broken","Thu Aug 05 14:13:03 GMT 2021","Thu Aug 05 14:13:13 GMT 2021","10050","python_tests","test_conduit","","","","test_delete_article","delete the last and edited article"
"passed","Thu Aug 05 14:12:25 GMT 2021","Thu Aug 05 14:12:28 GMT 2021","3287","python_tests","test_conduit","","","","test_register","a user registration with valid data"
