"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 04 18:05:20 GMT 2021","Wed Aug 04 18:05:30 GMT 2021","10150","python_tests","test_conduit","","","","test_accept_cookies","accept cookies"
"passed","Wed Aug 04 18:05:51 GMT 2021","Wed Aug 04 18:05:51 GMT 2021","461","python_tests","test_conduit","","","","test_new_article","create new article with random data used a modul RandomData"
"broken","Wed Aug 04 18:05:30 GMT 2021","Wed Aug 04 18:05:51 GMT 2021","21119","python_tests","test_conduit","","","","test_pagination","select last page and assert if it is 'page-item active' "
"passed","Wed Aug 04 18:05:18 GMT 2021","Wed Aug 04 18:05:18 GMT 2021","883","python_tests","test_conduit","","","","test_login","login with a registered user"
"passed","Wed Aug 04 18:05:14 GMT 2021","Wed Aug 04 18:05:17 GMT 2021","2918","python_tests","test_conduit","","","","test_register","a user registration with valid data"
"skipped","Wed Aug 04 18:05:51 GMT 2021","Wed Aug 04 18:05:51 GMT 2021","0","python_tests","test_conduit","","","","test_new_article_from_file","add two new data from testdata.csv"
"passed","Wed Aug 04 18:05:17 GMT 2021","Wed Aug 04 18:05:18 GMT 2021","167","python_tests","test_conduit","","","","test_logout","logout after successful registration"
"passed","Wed Aug 04 18:05:51 GMT 2021","Wed Aug 04 18:05:52 GMT 2021","858","python_tests","test_conduit","","","","test_edit_article","edit the last article"
"passed","Wed Aug 04 18:05:52 GMT 2021","Wed Aug 04 18:05:52 GMT 2021","182","python_tests","test_conduit","","","","test_delete_article","delete the last and edited article"
"broken","Wed Aug 04 18:05:18 GMT 2021","Wed Aug 04 18:05:20 GMT 2021","1160","python_tests","test_conduit","","","","test_save_data","Save data from articles from page n1"
"passed","Wed Aug 04 18:05:13 GMT 2021","Wed Aug 04 18:05:14 GMT 2021","1292","python_tests","test_conduit","","","","test_login_with_empty_fields","try to login without email and password"
