"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 04 17:27:15 GMT 2021","Wed Aug 04 17:27:26 GMT 2021","10287","python_tests","test_conduit","","","","test_accept_cookies","accept cookies"
"broken","Wed Aug 04 17:27:37 GMT 2021","Wed Aug 04 17:27:47 GMT 2021","10031","python_tests","test_conduit","","","","test_delete_article","delete the last and edited article"
"passed","Wed Aug 04 17:27:02 GMT 2021","Wed Aug 04 17:27:03 GMT 2021","879","python_tests","test_conduit","","","","test_login","login with a registered user"
"passed","Wed Aug 04 17:26:59 GMT 2021","Wed Aug 04 17:27:02 GMT 2021","2896","python_tests","test_conduit","","","","test_register","a user registration with valid data"
"passed","Wed Aug 04 17:27:02 GMT 2021","Wed Aug 04 17:27:02 GMT 2021","77","python_tests","test_conduit","","","","test_logout","logout after successful registration"
"passed","Wed Aug 04 17:26:58 GMT 2021","Wed Aug 04 17:26:59 GMT 2021","1132","python_tests","test_conduit","","","","test_login_with_empty_fields","try to login without email and password"
"passed","Wed Aug 04 17:27:03 GMT 2021","Wed Aug 04 17:27:15 GMT 2021","12799","python_tests","test_conduit","","","","test_save_data","Save data from articles from page n1"
"broken","Wed Aug 04 17:27:27 GMT 2021","Wed Aug 04 17:27:37 GMT 2021","10078","python_tests","test_conduit","","","","test_edit_article","edit the last article"
"passed","Wed Aug 04 17:27:26 GMT 2021","Wed Aug 04 17:27:26 GMT 2021","111","python_tests","test_conduit","","","","test_pagination","select last page and assert if it is 'page-item active' "
"passed","Wed Aug 04 17:27:26 GMT 2021","Wed Aug 04 17:27:26 GMT 2021","504","python_tests","test_conduit","","","","test_new_article","create new article with random data used a modul RandomData"
"broken","Wed Aug 04 17:27:26 GMT 2021","Wed Aug 04 17:27:26 GMT 2021","198","python_tests","test_conduit","","","","test_new_article_from_file","add two new data from testdata.csv"
