"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 17 08:03:32 GMT 2022","Thu Mar 17 08:03:32 GMT 2022","9","python_tests","test_conduit","","","","test_accept_cookies","accept cookies"
"broken","Thu Mar 17 08:02:58 GMT 2022","Thu Mar 17 08:03:00 GMT 2022","1837","python_tests","test_conduit","","","","test_login_with_empty_fields","try to login without email and password"
"broken","Thu Mar 17 08:04:56 GMT 2022","Thu Mar 17 08:05:17 GMT 2022","21032","python_tests","test_conduit","","","","test_new_article_with_empty_fields","try to add new article with empty fields"
"broken","Thu Mar 17 08:04:14 GMT 2022","Thu Mar 17 08:04:35 GMT 2022","21021","python_tests","test_conduit","","","","test_edit_article","edit the last article"
"broken","Thu Mar 17 08:03:22 GMT 2022","Thu Mar 17 08:03:22 GMT 2022","105","python_tests","test_conduit","","","","test_login","login with a previously registered user"
"skipped","Thu Mar 17 08:04:14 GMT 2022","Thu Mar 17 08:04:14 GMT 2022","0","python_tests","test_conduit","","","","test_new_article_from_file","add two new data from testate.csv"
"broken","Thu Mar 17 08:03:01 GMT 2022","Thu Mar 17 08:03:22 GMT 2022","21069","python_tests","test_conduit","","","","test_logout","logout after successful registration"
"passed","Thu Mar 17 08:03:22 GMT 2022","Thu Mar 17 08:03:32 GMT 2022","10054","python_tests","test_conduit","","","","test_save_data","Save data from articles from page n1"
"broken","Thu Mar 17 08:04:35 GMT 2022","Thu Mar 17 08:04:56 GMT 2022","21022","python_tests","test_conduit","","","","test_delete_article","delete the last and edited article"
"broken","Thu Mar 17 08:03:00 GMT 2022","Thu Mar 17 08:03:00 GMT 2022","164","python_tests","test_conduit","","","","test_register_with_empty_fields","a user registration with empty fields"
"broken","Thu Mar 17 08:03:32 GMT 2022","Thu Mar 17 08:03:53 GMT 2022","21039","python_tests","test_conduit","","","","test_pagination","select last page and assert if it is 'page-item active' "
"broken","Thu Mar 17 08:03:00 GMT 2022","Thu Mar 17 08:03:01 GMT 2022","102","python_tests","test_conduit","","","","test_register","a user registration with valid data"
"broken","Thu Mar 17 08:03:53 GMT 2022","Thu Mar 17 08:04:14 GMT 2022","21035","python_tests","test_conduit","","","","test_new_article","create new article with random data used by module RandomData"
