"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Jul 24 16:04:29 GMT 2021","Sat Jul 24 16:04:29 GMT 2021","0","python_tests","test_conduit","","","","test_register","a user registration"
"broken","Sat Jul 24 16:04:37 GMT 2021","Sat Jul 24 16:04:50 GMT 2021","12437","python_tests","test_conduit","","","","test_login","login with a registered user"
"broken","Sat Jul 24 16:04:51 GMT 2021","Sat Jul 24 16:05:02 GMT 2021","11049","python_tests","test_conduit","","","","test_pagination","select last page and assert if it is 'page-item active' "
"broken","Sat Jul 24 16:04:50 GMT 2021","Sat Jul 24 16:04:51 GMT 2021","1102","python_tests","test_conduit","","","","test_accept_cookies","accept cookies"
