"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 05 15:11:39 GMT 2021","Thu Aug 05 15:11:40 GMT 2021","1935","python_tests","test_conduit","","","","test_login_with_empty_fields","try to login without email and password"
"passed","Thu Aug 05 15:11:58 GMT 2021","Thu Aug 05 15:12:08 GMT 2021","10332","python_tests","test_conduit","","","","test_accept_cookies","accept cookies"
"passed","Thu Aug 05 15:11:44 GMT 2021","Thu Aug 05 15:11:45 GMT 2021","892","python_tests","test_conduit","","","","test_login","login with a registered user"
"skipped","Thu Aug 05 15:12:09 GMT 2021","Thu Aug 05 15:12:09 GMT 2021","0","python_tests","test_conduit","","","","test_new_article_from_file","add two new data from testate.csv"
"passed","Thu Aug 05 15:12:08 GMT 2021","Thu Aug 05 15:12:09 GMT 2021","525","python_tests","test_conduit","","","","test_new_article","create new article with random data used a modul RandomData"
"passed","Thu Aug 05 15:11:40 GMT 2021","Thu Aug 05 15:11:44 GMT 2021","3080","python_tests","test_conduit","","","","test_register","a user registration with valid data"
"passed","Thu Aug 05 15:11:45 GMT 2021","Thu Aug 05 15:11:58 GMT 2021","12966","python_tests","test_conduit","","","","test_save_data","Save data from articles from page n1"
"passed","Thu Aug 05 15:12:08 GMT 2021","Thu Aug 05 15:12:08 GMT 2021","111","python_tests","test_conduit","","","","test_pagination","select last page and assert if it is 'page-item active' "
"passed","Thu Aug 05 15:11:44 GMT 2021","Thu Aug 05 15:11:44 GMT 2021","199","python_tests","test_conduit","","","","test_logout","logout after successful registration"
"passed","Thu Aug 05 15:12:09 GMT 2021","Thu Aug 05 15:12:09 GMT 2021","489","python_tests","test_conduit","","","","test_edit_article","edit the last article"
"passed","Thu Aug 05 15:12:09 GMT 2021","Thu Aug 05 15:12:09 GMT 2021","285","python_tests","test_conduit","","","","test_delete_article","delete the last and edited article"
