"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 04 18:18:57 GMT 2021","Wed Aug 04 18:18:58 GMT 2021","1206","python_tests","test_conduit","","","","test_save_data","Save data from articles from page n1"
"passed","Wed Aug 04 18:18:56 GMT 2021","Wed Aug 04 18:18:57 GMT 2021","905","python_tests","test_conduit","","","","test_login","login with a registered user"
"passed","Wed Aug 04 18:19:30 GMT 2021","Wed Aug 04 18:19:31 GMT 2021","860","python_tests","test_conduit","","","","test_edit_article","edit the last article"
"passed","Wed Aug 04 18:19:30 GMT 2021","Wed Aug 04 18:19:30 GMT 2021","446","python_tests","test_conduit","","","","test_new_article","create new article with random data used a modul RandomData"
"passed","Wed Aug 04 18:18:51 GMT 2021","Wed Aug 04 18:18:53 GMT 2021","2030","python_tests","test_conduit","","","","test_login_with_empty_fields","try to login without email and password"
"passed","Wed Aug 04 18:19:31 GMT 2021","Wed Aug 04 18:19:31 GMT 2021","124","python_tests","test_conduit","","","","test_delete_article","delete the last and edited article"
"skipped","Wed Aug 04 18:19:30 GMT 2021","Wed Aug 04 18:19:30 GMT 2021","0","python_tests","test_conduit","","","","test_new_article_from_file","add two new data from testdata.csv"
"passed","Wed Aug 04 18:18:58 GMT 2021","Wed Aug 04 18:19:09 GMT 2021","10179","python_tests","test_conduit","","","","test_accept_cookies","accept cookies"
"passed","Wed Aug 04 18:18:56 GMT 2021","Wed Aug 04 18:18:56 GMT 2021","68","python_tests","test_conduit","","","","test_logout","logout after successful registration"
"passed","Wed Aug 04 18:18:53 GMT 2021","Wed Aug 04 18:18:56 GMT 2021","3437","python_tests","test_conduit","","","","test_register","a user registration with valid data"
"broken","Wed Aug 04 18:19:09 GMT 2021","Wed Aug 04 18:19:30 GMT 2021","21087","python_tests","test_conduit","","","","test_pagination","select last page and assert if it is 'page-item active' "
