"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 08:54:34 GMT 2021","Sun Aug 08 08:54:36 GMT 2021","1956","python_tests","test_conduit","","","","test_new_article_with_empty_fields","create new article with random data used by module RandomData"
"passed","Sun Aug 08 08:53:51 GMT 2021","Sun Aug 08 08:53:53 GMT 2021","1814","python_tests","test_conduit","","","","test_login_with_empty_fields","try to login without email and password"
"passed","Sun Aug 08 08:53:58 GMT 2021","Sun Aug 08 08:54:11 GMT 2021","13429","python_tests","test_conduit","","","","test_save_data","Save data from articles from page n1"
"passed","Sun Aug 08 08:53:58 GMT 2021","Sun Aug 08 08:53:58 GMT 2021","85","python_tests","test_conduit","","","","test_logout","logout after successful registration"
"passed","Sun Aug 08 08:54:33 GMT 2021","Sun Aug 08 08:54:33 GMT 2021","550","python_tests","test_conduit","","","","test_new_article","create new article with random data used by module RandomData"
"passed","Sun Aug 08 08:54:11 GMT 2021","Sun Aug 08 08:54:33 GMT 2021","21309","python_tests","test_conduit","","","","test_accept_cookies","accept cookies"
"passed","Sun Aug 08 08:54:33 GMT 2021","Sun Aug 08 08:54:33 GMT 2021","138","python_tests","test_conduit","","","","test_pagination","select last page and assert if it is 'page-item active' "
"passed","Sun Aug 08 08:53:58 GMT 2021","Sun Aug 08 08:53:58 GMT 2021","405","python_tests","test_conduit","","","","test_login","login with a previously registered user"
"skipped","Sun Aug 08 08:54:33 GMT 2021","Sun Aug 08 08:54:33 GMT 2021","0","python_tests","test_conduit","","","","test_new_article_from_file","add two new data from testate.csv"
"passed","Sun Aug 08 08:54:34 GMT 2021","Sun Aug 08 08:54:34 GMT 2021","208","python_tests","test_conduit","","","","test_delete_article","delete the last and edited article"
"passed","Sun Aug 08 08:53:54 GMT 2021","Sun Aug 08 08:53:58 GMT 2021","3312","python_tests","test_conduit","","","","test_register","a user registration with valid data"
"passed","Sun Aug 08 08:54:33 GMT 2021","Sun Aug 08 08:54:34 GMT 2021","516","python_tests","test_conduit","","","","test_edit_article","edit the last article"
"passed","Sun Aug 08 08:53:53 GMT 2021","Sun Aug 08 08:53:54 GMT 2021","944","python_tests","test_conduit","","","","test_register_with_empty_fields","a user registration with empty fields"
