"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 05 05:52:47 GMT 2021","Thu Aug 05 05:52:57 GMT 2021","10078","python_tests","test_conduit","","","","test_login","login with a registered user"
"broken","Thu Aug 05 05:53:07 GMT 2021","Thu Aug 05 05:53:17 GMT 2021","10008","python_tests","test_conduit","","","","test_accept_cookies","accept cookies"
"broken","Thu Aug 05 05:53:17 GMT 2021","Thu Aug 05 05:53:38 GMT 2021","21095","python_tests","test_conduit","","","","test_pagination","select last page and assert if it is 'page-item active' "
"broken","Thu Aug 05 05:53:58 GMT 2021","Thu Aug 05 05:54:08 GMT 2021","10035","python_tests","test_conduit","","","","test_delete_article","delete the last and edited article"
"broken","Thu Aug 05 05:53:48 GMT 2021","Thu Aug 05 05:53:58 GMT 2021","10047","python_tests","test_conduit","","","","test_edit_article","edit the last article"
"passed","Thu Aug 05 05:52:57 GMT 2021","Thu Aug 05 05:53:07 GMT 2021","10033","python_tests","test_conduit","","","","test_save_data","Save data from articles from page n1"
"skipped","Thu Aug 05 05:53:48 GMT 2021","Thu Aug 05 05:53:48 GMT 2021","0","python_tests","test_conduit","","","","test_new_article_from_file","add two new data from testdata.csv"
"broken","Thu Aug 05 05:52:16 GMT 2021","Thu Aug 05 05:52:26 GMT 2021","10330","python_tests","test_conduit","","","","test_login_with_empty_fields","try to login without email and password"
"broken","Thu Aug 05 05:52:26 GMT 2021","Thu Aug 05 05:52:37 GMT 2021","10090","python_tests","test_conduit","","","","test_register","a user registration with valid data"
"broken","Thu Aug 05 05:52:37 GMT 2021","Thu Aug 05 05:52:47 GMT 2021","10017","python_tests","test_conduit","","","","test_logout","logout after successful registration"
"broken","Thu Aug 05 05:53:38 GMT 2021","Thu Aug 05 05:53:48 GMT 2021","10039","python_tests","test_conduit","","","","test_new_article","create new article with random data used a modul RandomData"
