"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 22 11:42:16 GMT 2021","Thu Jul 22 11:42:19 GMT 2021","3357","python_tests","test_conduit","","","","test_register","a user registration"
"passed","Thu Jul 22 11:42:19 GMT 2021","Thu Jul 22 11:42:20 GMT 2021","1126","python_tests","test_conduit","","","","test_login","login with a registered user"
"passed","Thu Jul 22 11:42:20 GMT 2021","Thu Jul 22 11:42:21 GMT 2021","173","python_tests","test_conduit","","","","test_accept_cookies","accept cookies"
