"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 05 14:40:18 GMT 2021","Thu Aug 05 14:40:18 GMT 2021","93","python_tests","test_conduit","","","","test_logout","logout after successful registration"
"passed","Thu Aug 05 14:40:14 GMT 2021","Thu Aug 05 14:40:18 GMT 2021","3265","python_tests","test_conduit","","","","test_register","a user registration with valid data"
"broken","Thu Aug 05 14:40:53 GMT 2021","Thu Aug 05 14:41:03 GMT 2021","10013","python_tests","test_conduit","","","","test_delete_article","delete the last and edited article"
"passed","Thu Aug 05 14:40:18 GMT 2021","Thu Aug 05 14:40:19 GMT 2021","877","python_tests","test_conduit","","","","test_login","login with a registered user"
"passed","Thu Aug 05 14:40:32 GMT 2021","Thu Aug 05 14:40:42 GMT 2021","10242","python_tests","test_conduit","","","","test_accept_cookies","accept cookies"
"passed","Thu Aug 05 14:40:12 GMT 2021","Thu Aug 05 14:40:14 GMT 2021","1993","python_tests","test_conduit","","","","test_login_with_empty_fields","try to login without email and password"
"passed","Thu Aug 05 14:40:42 GMT 2021","Thu Aug 05 14:40:42 GMT 2021","487","python_tests","test_conduit","","","","test_new_article","create new article with random data used a modul RandomData"
"broken","Thu Aug 05 14:40:42 GMT 2021","Thu Aug 05 14:40:43 GMT 2021","133","python_tests","test_conduit","","","","test_new_article_from_file","add two new data from testate.csv"
"broken","Thu Aug 05 14:40:43 GMT 2021","Thu Aug 05 14:40:53 GMT 2021","10107","python_tests","test_conduit","","","","test_edit_article","edit the last article"
"passed","Thu Aug 05 14:40:42 GMT 2021","Thu Aug 05 14:40:42 GMT 2021","106","python_tests","test_conduit","","","","test_pagination","select last page and assert if it is 'page-item active' "
"passed","Thu Aug 05 14:40:19 GMT 2021","Thu Aug 05 14:40:32 GMT 2021","12862","python_tests","test_conduit","","","","test_save_data","Save data from articles from page n1"
