"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 10:22:00 GMT 2021","Sun Aug 08 10:22:00 GMT 2021","909","python_tests","test_conduit","","","","test_register_with_empty_fields","a user registration with empty fields"
"passed","Sun Aug 08 10:22:39 GMT 2021","Sun Aug 08 10:22:39 GMT 2021","124","python_tests","test_conduit","","","","test_pagination","select last page and assert if it is 'page-item active' "
"passed","Sun Aug 08 10:22:18 GMT 2021","Sun Aug 08 10:22:39 GMT 2021","21344","python_tests","test_conduit","","","","test_accept_cookies","accept cookies"
"passed","Sun Aug 08 10:22:41 GMT 2021","Sun Aug 08 10:22:42 GMT 2021","408","python_tests","test_conduit","","","","test_edit_article","edit the last article"
"passed","Sun Aug 08 10:22:04 GMT 2021","Sun Aug 08 10:22:04 GMT 2021","91","python_tests","test_conduit","","","","test_logout","logout after successful registration"
"passed","Sun Aug 08 10:22:40 GMT 2021","Sun Aug 08 10:22:41 GMT 2021","1578","python_tests","test_conduit","","","","test_new_article_from_file","add two new data from testate.csv"
"passed","Sun Aug 08 10:22:04 GMT 2021","Sun Aug 08 10:22:18 GMT 2021","13478","python_tests","test_conduit","","","","test_save_data","Save data from articles from page n1"
"passed","Sun Aug 08 10:22:42 GMT 2021","Sun Aug 08 10:22:43 GMT 2021","1374","python_tests","test_conduit","","","","test_new_article_with_empty_fields","try to add new article with empty fields"
"passed","Sun Aug 08 10:22:39 GMT 2021","Sun Aug 08 10:22:40 GMT 2021","505","python_tests","test_conduit","","","","test_new_article","create new article with random data used by module RandomData"
"passed","Sun Aug 08 10:21:58 GMT 2021","Sun Aug 08 10:22:00 GMT 2021","1314","python_tests","test_conduit","","","","test_login_with_empty_fields","try to login without email and password"
"passed","Sun Aug 08 10:22:42 GMT 2021","Sun Aug 08 10:22:42 GMT 2021","204","python_tests","test_conduit","","","","test_delete_article","delete the last and edited article"
"passed","Sun Aug 08 10:22:00 GMT 2021","Sun Aug 08 10:22:04 GMT 2021","3229","python_tests","test_conduit","","","","test_register","a user registration with valid data"
"passed","Sun Aug 08 10:22:04 GMT 2021","Sun Aug 08 10:22:04 GMT 2021","408","python_tests","test_conduit","","","","test_login","login with a previously registered user"
