"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 05 06:07:12 GMT 2021","Thu Aug 05 06:07:14 GMT 2021","2798","python_tests","test_conduit","","","","test_register","a user registration with valid data"
"passed","Thu Aug 05 06:07:15 GMT 2021","Thu Aug 05 06:07:15 GMT 2021","762","python_tests","test_conduit","","","","test_login","login with a registered user"
"passed","Thu Aug 05 06:07:10 GMT 2021","Thu Aug 05 06:07:12 GMT 2021","1293","python_tests","test_conduit","","","","test_login_with_empty_fields","try to login without email and password"
"skipped","Thu Aug 05 06:07:39 GMT 2021","Thu Aug 05 06:07:39 GMT 2021","0","python_tests","test_conduit","","","","test_new_article_from_file","add two new data from testdata.csv"
"passed","Thu Aug 05 06:07:28 GMT 2021","Thu Aug 05 06:07:38 GMT 2021","10306","python_tests","test_conduit","","","","test_accept_cookies","accept cookies"
"passed","Thu Aug 05 06:07:15 GMT 2021","Thu Aug 05 06:07:28 GMT 2021","12635","python_tests","test_conduit","","","","test_save_data","Save data from articles from page n1"
"passed","Thu Aug 05 06:07:40 GMT 2021","Thu Aug 05 06:07:40 GMT 2021","187","python_tests","test_conduit","","","","test_delete_article","delete the last and edited article"
"passed","Thu Aug 05 06:07:38 GMT 2021","Thu Aug 05 06:07:39 GMT 2021","438","python_tests","test_conduit","","","","test_new_article","create new article with random data used a modul RandomData"
"passed","Thu Aug 05 06:07:14 GMT 2021","Thu Aug 05 06:07:15 GMT 2021","49","python_tests","test_conduit","","","","test_logout","logout after successful registration"
"passed","Thu Aug 05 06:07:38 GMT 2021","Thu Aug 05 06:07:38 GMT 2021","90","python_tests","test_conduit","","","","test_pagination","select last page and assert if it is 'page-item active' "
"passed","Thu Aug 05 06:07:39 GMT 2021","Thu Aug 05 06:07:40 GMT 2021","902","python_tests","test_conduit","","","","test_edit_article","edit the last article"
