"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 05 08:19:35 GMT 2021","Thu Aug 05 08:19:36 GMT 2021","928","python_tests","test_conduit","","","","test_edit_article","edit the last article"
"passed","Thu Aug 05 08:19:08 GMT 2021","Thu Aug 05 08:19:11 GMT 2021","2621","python_tests","test_conduit","","","","test_register","a user registration with valid data"
"passed","Thu Aug 05 08:19:07 GMT 2021","Thu Aug 05 08:19:08 GMT 2021","1161","python_tests","test_conduit","","","","test_login_with_empty_fields","try to login without email and password"
"passed","Thu Aug 05 08:19:24 GMT 2021","Thu Aug 05 08:19:35 GMT 2021","10338","python_tests","test_conduit","","","","test_accept_cookies","accept cookies"
"passed","Thu Aug 05 08:19:11 GMT 2021","Thu Aug 05 08:19:11 GMT 2021","154","python_tests","test_conduit","","","","test_logout","logout after successful registration"
"passed","Thu Aug 05 08:19:36 GMT 2021","Thu Aug 05 08:19:36 GMT 2021","205","python_tests","test_conduit","","","","test_delete_article","delete the last and edited article"
"passed","Thu Aug 05 08:19:35 GMT 2021","Thu Aug 05 08:19:35 GMT 2021","501","python_tests","test_conduit","","","","test_new_article","create new article with random data used a modul RandomData"
"skipped","Thu Aug 05 08:19:35 GMT 2021","Thu Aug 05 08:19:35 GMT 2021","0","python_tests","test_conduit","","","","test_new_article_from_file","add two new data from testdata.csv"
"passed","Thu Aug 05 08:19:11 GMT 2021","Thu Aug 05 08:19:12 GMT 2021","823","python_tests","test_conduit","","","","test_login","login with a registered user"
"passed","Thu Aug 05 08:19:12 GMT 2021","Thu Aug 05 08:19:24 GMT 2021","12647","python_tests","test_conduit","","","","test_save_data","Save data from articles from page n1"
"passed","Thu Aug 05 08:19:35 GMT 2021","Thu Aug 05 08:19:35 GMT 2021","112","python_tests","test_conduit","","","","test_pagination","select last page and assert if it is 'page-item active' "
