"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 04 17:40:42 GMT 2021","Wed Aug 04 17:40:55 GMT 2021","12929","python_tests","test_conduit","","","","test_save_data","Save data from articles from page n1"
"passed","Wed Aug 04 17:40:41 GMT 2021","Wed Aug 04 17:40:42 GMT 2021","1066","python_tests","test_conduit","","","","test_login","login with a registered user"
"passed","Wed Aug 04 17:41:05 GMT 2021","Wed Aug 04 17:41:06 GMT 2021","526","python_tests","test_conduit","","","","test_new_article","create new article with random data used a modul RandomData"
"passed","Wed Aug 04 17:41:07 GMT 2021","Wed Aug 04 17:41:07 GMT 2021","239","python_tests","test_conduit","","","","test_delete_article","delete the last and edited article"
"passed","Wed Aug 04 17:40:41 GMT 2021","Wed Aug 04 17:40:41 GMT 2021","226","python_tests","test_conduit","","","","test_logout","logout after successful registration"
"passed","Wed Aug 04 17:40:38 GMT 2021","Wed Aug 04 17:40:41 GMT 2021","2948","python_tests","test_conduit","","","","test_register","a user registration with valid data"
"skipped","Wed Aug 04 17:41:06 GMT 2021","Wed Aug 04 17:41:06 GMT 2021","0","python_tests","test_conduit","","","","test_new_article_from_file","add two new data from testdata.csv"
"passed","Wed Aug 04 17:40:55 GMT 2021","Wed Aug 04 17:41:05 GMT 2021","10343","python_tests","test_conduit","","","","test_accept_cookies","accept cookies"
"passed","Wed Aug 04 17:41:06 GMT 2021","Wed Aug 04 17:41:07 GMT 2021","998","python_tests","test_conduit","","","","test_edit_article","edit the last article"
"passed","Wed Aug 04 17:41:05 GMT 2021","Wed Aug 04 17:41:05 GMT 2021","111","python_tests","test_conduit","","","","test_pagination","select last page and assert if it is 'page-item active' "
"passed","Wed Aug 04 17:40:36 GMT 2021","Wed Aug 04 17:40:38 GMT 2021","1931","python_tests","test_conduit","","","","test_login_with_empty_fields","try to login without email and password"
