"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 05 06:02:15 GMT 2021","Thu Aug 05 06:02:25 GMT 2021","10060","python_tests","test_conduit","","","","test_edit_article","edit the last article"
"broken","Thu Aug 05 06:02:05 GMT 2021","Thu Aug 05 06:02:15 GMT 2021","10044","python_tests","test_conduit","","","","test_new_article","create new article with random data used a modul RandomData"
"passed","Thu Aug 05 06:01:24 GMT 2021","Thu Aug 05 06:01:34 GMT 2021","10052","python_tests","test_conduit","","","","test_save_data","Save data from articles from page n1"
"broken","Thu Aug 05 06:01:14 GMT 2021","Thu Aug 05 06:01:24 GMT 2021","10055","python_tests","test_conduit","","","","test_login","login with a registered user"
"broken","Thu Aug 05 06:01:44 GMT 2021","Thu Aug 05 06:02:05 GMT 2021","21083","python_tests","test_conduit","","","","test_pagination","select last page and assert if it is 'page-item active' "
"broken","Thu Aug 05 06:00:43 GMT 2021","Thu Aug 05 06:00:54 GMT 2021","10408","python_tests","test_conduit","","","","test_login_with_empty_fields","try to login without email and password"
"broken","Thu Aug 05 06:01:34 GMT 2021","Thu Aug 05 06:01:44 GMT 2021","10052","python_tests","test_conduit","","","","test_accept_cookies","accept cookies"
"broken","Thu Aug 05 06:02:25 GMT 2021","Thu Aug 05 06:02:36 GMT 2021","10036","python_tests","test_conduit","","","","test_delete_article","delete the last and edited article"
"broken","Thu Aug 05 06:00:54 GMT 2021","Thu Aug 05 06:01:04 GMT 2021","10110","python_tests","test_conduit","","","","test_register","a user registration with valid data"
"broken","Thu Aug 05 06:01:04 GMT 2021","Thu Aug 05 06:01:14 GMT 2021","10061","python_tests","test_conduit","","","","test_logout","logout after successful registration"
"skipped","Thu Aug 05 06:02:15 GMT 2021","Thu Aug 05 06:02:15 GMT 2021","0","python_tests","test_conduit","","","","test_new_article_from_file","add two new data from testdata.csv"
