"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 05 12:47:13 GMT 2021","Thu Aug 05 12:47:24 GMT 2021","10199","python_tests","test_conduit","","","","test_accept_cookies","accept cookies"
"passed","Thu Aug 05 12:47:25 GMT 2021","Thu Aug 05 12:47:25 GMT 2021","211","python_tests","test_conduit","","","","test_delete_article","delete the last and edited article"
"passed","Thu Aug 05 12:47:01 GMT 2021","Thu Aug 05 12:47:13 GMT 2021","12708","python_tests","test_conduit","","","","test_save_data","Save data from articles from page n1"
"passed","Thu Aug 05 12:47:00 GMT 2021","Thu Aug 05 12:47:00 GMT 2021","138","python_tests","test_conduit","","","","test_logout","logout after successful registration"
"passed","Thu Aug 05 12:46:57 GMT 2021","Thu Aug 05 12:46:57 GMT 2021","723","python_tests","test_conduit","","","","test_login_with_empty_fields","try to login without email and password"
"passed","Thu Aug 05 12:47:24 GMT 2021","Thu Aug 05 12:47:24 GMT 2021","463","python_tests","test_conduit","","","","test_new_article","create new article with random data used a modul RandomData"
"passed","Thu Aug 05 12:47:00 GMT 2021","Thu Aug 05 12:47:01 GMT 2021","798","python_tests","test_conduit","","","","test_login","login with a registered user"
"passed","Thu Aug 05 12:47:24 GMT 2021","Thu Aug 05 12:47:25 GMT 2021","450","python_tests","test_conduit","","","","test_edit_article","edit the last article"
"skipped","Thu Aug 05 12:47:24 GMT 2021","Thu Aug 05 12:47:24 GMT 2021","0","python_tests","test_conduit","","","","test_new_article_from_file","add two new data from testdata.csv"
"passed","Thu Aug 05 12:46:57 GMT 2021","Thu Aug 05 12:47:00 GMT 2021","2417","python_tests","test_conduit","","","","test_register","a user registration with valid data"
"passed","Thu Aug 05 12:47:24 GMT 2021","Thu Aug 05 12:47:24 GMT 2021","96","python_tests","test_conduit","","","","test_pagination","select last page and assert if it is 'page-item active' "
